MICRO_AVG	False-Negative: 140.0	False-Positive: 140.0	True-Negative: 8067.0	True-Positive: 143.0
rel-examines(e2,e1)	False-Negative: 8.0	False-Positive: 0.0	True-Negative: 275.0	True-Positive: 0.0
rel-has_measure(e1,e2)	False-Negative: 7.0	False-Positive: 6.0	True-Negative: 243.0	True-Positive: 27.0
rel-treats(e1,e2)	False-Negative: 2.0	False-Positive: 0.0	True-Negative: 281.0	True-Positive: 0.0
rel-has_time_info(e1,e2)	False-Negative: 3.0	False-Positive: 1.0	True-Negative: 272.0	True-Positive: 7.0
rel-causes(e1,e2)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 283.0	True-Positive: 0.0
rel-examines(e1,e2)	False-Negative: 2.0	False-Positive: 0.0	True-Negative: 281.0	True-Positive: 0.0
rel-hasstate(e2,e1)	False-Negative: 0.0	False-Positive: 69.0	True-Negative: 195.0	True-Positive: 19.0
rel-is_linked_to(e1,e2)	False-Negative: 15.0	False-Positive: 3.0	True-Negative: 263.0	True-Positive: 2.0
rel-has_dosing(e1,e2)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 1.0
rel-consequence(e2,e1)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 283.0	True-Positive: 0.0
rel-shows(e1,e2)	False-Negative: 1.0	False-Positive: 6.0	True-Negative: 262.0	True-Positive: 14.0
rel-hasstate(e1,e2)	False-Negative: 24.0	False-Positive: 1.0	True-Negative: 243.0	True-Positive: 15.0
rel-consequence(e1,e2)	False-Negative: 11.0	False-Positive: 0.0	True-Negative: 269.0	True-Positive: 3.0
rel-is_linked_to(e2,e1)	False-Negative: 7.0	False-Positive: 0.0	True-Negative: 276.0	True-Positive: 0.0
rel-is_specified(e2,e1)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 276.0	True-Positive: 3.0
rel-has_dosing(e2,e1)	False-Negative: 1.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 0.0
rel-treats(e2,e1)	False-Negative: 3.0	False-Positive: 0.0	True-Negative: 280.0	True-Positive: 0.0
rel-shows(e2,e1)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 279.0	True-Positive: 0.0
rel-if_consequence(e2,e1)	False-Negative: 0.0	False-Positive: 2.0	True-Negative: 280.0	True-Positive: 1.0
rel-involves(e1,e2)	False-Negative: 6.0	False-Positive: 0.0	True-Negative: 277.0	True-Positive: 0.0
rel-has_time_info(e2,e1)	False-Negative: 3.0	False-Positive: 3.0	True-Negative: 268.0	True-Positive: 9.0
rel-affects(e1,e2)	False-Negative: 6.0	False-Positive: 0.0	True-Negative: 277.0	True-Positive: 0.0
rel-affects(e2,e1)	False-Negative: 2.0	False-Positive: 2.0	True-Negative: 279.0	True-Positive: 0.0
rel-involves(e2,e1)	False-Negative: 2.0	False-Positive: 4.0	True-Negative: 268.0	True-Positive: 9.0
rel-causes(e2,e1)	False-Negative: 1.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 0.0
rel-has_measure(e2,e1)	False-Negative: 1.0	False-Positive: 35.0	True-Negative: 225.0	True-Positive: 22.0
rel-is_specified(e1,e2)	False-Negative: 1.0	False-Positive: 1.0	True-Negative: 281.0	True-Positive: 0.0
rel-is_located(e2,e1)	False-Negative: 10.0	False-Positive: 0.0	True-Negative: 273.0	True-Positive: 0.0
rel-is_located(e1,e2)	False-Negative: 11.0	False-Positive: 3.0	True-Negative: 259.0	True-Positive: 10.0
rel-if_consequence(e1,e2)	False-Negative: 5.0	False-Positive: 4.0	True-Negative: 273.0	True-Positive: 1.0
